OBJECTID,Site_ID,X,Y,Address_1,Address_2,Address_3,Post_Code,Known_As
1,YK3101,459985.7181,451759.9715,Rougier Street,,,YO1 6HZ,
2,YK3102,459684.2458,451726.28,Rail Station,Stop RD,,YO1 6HP,
3,YK3103,459727.9992,451752.6992,Rail Station (Cholera Burial Ground),,,YO24 1AA,
4,YK3104,462290.262,450707.813,University Road,opp Morrell Library,,YO10 5NH,
5,YK3201A,459953.0824,451785.2879,Rougier Street,nr Tanner Row,N Wbnd - Stop CA,YO1 6HZ,
6,YK3201B,459962.795,451772.5038,Rougier Street,nr Tanner Row,N Wbnd - Stop CB,YO1 6HU,
7,YK3203F,459961.7329,451796.5263,Rougier Street,Stop CF,Ebnd,YO1 6HZ,
8,YK3203G,459979.8928,451776.9703,Rougier Street,Stop CG,Ebnd,YO1 6HZ,
9,YK3205,460701.738,447901.935,Designer Outlet Park & Ride,Bus Office,Inbound,YO19 4RL,
10,YK3206,462248.759,454469.28,Monk's Cross Park & Ride,Bus Office,Inbound,YO32 9JU,
11,YK3207,459709.1311,451387.3167,Blossom Street,nr Nunnery Lane - Stop BC,Wbnd,YO24 1AQ,
12,YK3208,459680.973,451360.7902,Blossom Street,nr Nunnery Lane - Stop BD,Wbnd,YO24 1AQ,
13,YK3209,460065.012,452046.535,Museum Street ,nr Library - Stop EA,Nbnd,YO1 7DT,
14,YK3210,459712.8148,451740.1924,Rail Station - Stop RF,opp Station northern most SBnd,SBnd,YO1 6HP,
15,YK3211,458046.2368,448457.2885,Askham Bar Park & Ride,Bus Stop,,YO23 2UB,
16,YK3212,458032.1746,448452.7088,Askham Bar Park & Ride,Internal,,YO23 2UB,
17,YK3213,458245.7855,448924.7525,Tesco Access Road,nr Tadcaster Road,,YO23 2UB,
18,YK3214,464422.5486,451383.6242,Grimston Bar Park & Ride (Hull Rd),Bus shelter,Sbnd,YO19 5LA,
19,YK3215,457621.4345,454620.5821,Rawcliffe Bar Park & Ride,,Inbound,YO30 5XZ,
20,YK3216,459644.904,451714.685,Rail Station,inside Main Entrance,,,
21,YK3217,462333.5102,450699.4368,University Road,os Morrell Library,Ebnd,YO10 5DD,
22,YK3218,462679.1263,450450.6369,Heslington Hall,"University Rd, N of Reception entrance",Nbnd,YO10 5ED,
23,YK3219,463804.4977,450844.2385,Heslington East Stop B,East of Deramore Ln roundabout,Wbnd,YO10 5GY,
24,YK3220,463882.044,450567.414,"Lakeside Way, University Campus",opp Ron Cooke Hub,Sbnd,YO10 5GW,
25,YK3221,455791.0041,453274.3573,Poppleton Bar Park & Ride,Internal to Office,Inbound,YO26 6PZ,
26,YK3222,455786.6229,453280.9448,Poppleton Bar Park & Ride,Bus Stop,Inbound,YO26 6PZ,
27,YK3223,460226.7667,452460.5604,Gillygate,os The Salvation Army (Outbound),Nbnd,YO31 7EA,
28,YK3224,460218.9322,452421.6397,Gillygate,os Fastframe No 60 (Inbound),Sbnd,YO31 7PH,
29,YK3225,460314.5563,452723.7083,Clarence Street,adj Union Terrace (Outbound),Sbnd,YO31 7EW,
30,YK3226,460306.0584,452732.4709,Clarence Street,Layby NE of Union Terrace (Outbound),,YO31 7EL,
31,YK3227,460590.2834,451826.2375,Stonebow Stop SE,opp Stonebow House - Stop SE,WBnd,YO1 7NP,
32,YK3228,460577.0083,451841.739,Stonebow,os Stonebow House - Stop SB (EBnd),,YO1 7FB,
33,YK3229,460574.2958,451829.6188,Stonebow Stop SF,The Stonebow/Black Horse Passage,Wbnd,YO1 7NP,
34,YK3230,460555.5921,451843.4396,Stonebow,os Stonebow House - Stop SA (EBnd),Ebnd,YO1 7NY,
35,YK3231,460590.5687,451838.4979,Stonebow,os Stonebow House - Stop SC (EBnd),,YO1 7NP,
36,YK3232,460591.6771,451640.0583,Merchantgate,opp The Red Lion - Stop PC,Nbnd,YO1 9WY,
37,YK3234,460523.4625,451671.0781,Piccadilly Stop PE,os Topman Store,NWbnd,YO1 9NU,
38,YK3235,460517.0542,451674.051,Piccadilly Stop PF,os Primark,NWbnd,YO1 9NU,
39,YK3236,460509.1635,451685.2761,Piccadilly Stop PG,os Primark (northern most),NWbnd,YO1 9NU,
40,YK3237,460522.1364,451692.4782,Piccadilly Stop PA,os NW to Merchant Adventurers' Hall,SEbnd,YO1 9WB,
41,YK3238,460537.074,451672.2333,Piccadilly Stop PB,os Merchant Adventurers' Hal (southern most)l,SEbnd,YO1 9NU,
42,YK3239,460437.2219,451399.3385,Tower Street Stop TA,opp Clifford's Tower,Nbnd,YO1 9SA,
43,YK3240,460350.4552,451570.5292,Clifford Street Stop TC,os Fiesta Latina Restaurant,Nbnd,YO1 9RH,
44,YK3241,460348.1323,451590.4552,Clifford Street Stop TD,os Kuda,Nbnd,YO1 9RD,
45,YK3242,460373.8521,451532.074,Clifford Street Stop TG,Next to St George's Keep,Sbnd,YO1 9RH,
46,YK3243,460289.8912,451665.3593,Low Ousegate,Stop TE,SWbnd,YO1 9QX,
47,YK3244,460272.6148,451658.5083,Low Ousegate,Stop TF,SWbnd,YO1 9QX,
48,YK3245,460068,451635,Micklegate Stop CJ & CK,nr Vaqueiros Restaurant,Ebnd,YO1 6JH,
49,YK3247,459828.5065,451859.1795,Station Avenue,Stop RM,NE Bnd,YO1 6FZ,
50,YK3248,460327.0781,452996.2626,York Hospital (Outbound),,Nbnd,YO31 8FQ,
51,YK3249,460346.4708,452952.8594,York Hospital (Inbound),opp Hospital Car Park,Sbnd,YO31 8FQ,
53,YK3251,459667.101,451701.6073,Rail Station Stop RB,adj Station NBnd,,YO1 6HP,
54,YK3252,459669.6302,451717.2062,Rail Station Stop RC,adj Station NBnd,Nbnd,YO1 6HP,
55,YK3253,459690.2573,451746.774,Rail Station Stop RE,adj Station northern most NBnd,,YO1 6HP,
56,YK3254,459705.8792,451725.6187,Rail Station - Stop RG,opp Station SBnd,,YO1 6HP,
57,YK3255,459694.9688,451701.2333,Rail Station - Stop RH,opp Station SBnd,,YO1 6HP,
58,YK3256,459687.2333,451685.1635,Rail Station - Stop RJ,opp Station southern most SBnd,,YO1 6HP,
60,YK3259,459866.774,451814.2761,Station Road - Stop CD,os Grand Hotel,,YO1 6FZ,
61,YK3260,459853.0427,451801.751,Station Road - Stop CE,os Grand Hotel,,YO1 6FZ,
62,YK3261,458225.2761,448651.2136,York College (Inbound),,,YO24 1GE,
63,YK3262,458201,448545,York College (Outbound),SBnd,,YO24 1XE,
64,YK3263,460105.8521,452152.5135,Theatre Royal - Stop EE,adj Theatre Royal SBnd,,YO1 7ET,
65,YK3264,460105.1479,452136.2219,Theatre Royal  - Stop EF,adj Theatre Royal SBnd,,YO1 7ET,
66,YK3265,460363.8833,451526.7355,Clifford Street Stop TB,Os Magistrates Court,Nbnd,YO1 9RJ,
67,YK3266,461181.9573,451373.8094,Lawrence Street (OutBnd),os Waggon & Horses Bar,Ebnd,YO10 3BP,
68,YK3267,461391.2646,451331.074,Lawrence Street (WBnd),os St Josephs Convent,Wbound,YO10 3DZ,
69,YK3268,462811.1167,455010.9302,Monks Cross shopping Park,os Hobbycraft,Sbound,YO32 9LF,
70,YK3269,456619,447414,Copmanthorpe Top Lane,,,YO23 3UH,
71,YK3270,459459.825,454337.9614,Water Lane adj Victoria Farm,,Nbound,YO30 6PQ,
73,YK3401,460083,452208,Exhibition Square,Bootham Bar,Nbnd,YO1 7ET,
74,YK3402,457511.899,451430.3969,Acomb Shops,opp Kashmir Indian Restaurant,Ebnd,YO24 3BJ,
75,YK3403,460857.5135,458207.8094,"Haxby, Memorial Hall",os Memorial Hall,Ebnd,YO32 3HT,
76,YK3404,456381.4938,447248.8948,"Copmanthorpe, Hallcroft Lane",Hallcroft Ln/Horseman Ln,Ebnd,YO23 3UQ,
77,YK3405,466997.3073,452551.6385,"Dunnington, The Greyhound",opp Dunnington News,SWbnd,YO19 5PN,
78,YK3407,463021.1323,459908.5917," Knapton Close, Strensall",York Road nr junction with Knapton Close,Sbnd,YO32 5RL,
79,YK3408,458539.7979,453827.2761,Shipton Road SBnd,nr No 80,SEbound,YO30 5RJ,
80,YK3409,459181.5094,452957.7781,Water End Clifton Green,,SE Bnd,YO30 6LP,
81,YK3410,457416.9219,452617.576,Boroughbridge Road,Plantation Drive,SEbound,YO26 6AB,
82,YK3411,458761.9009,451369.4594,Holgate Road,Acomb Road,Ebound,YO24 4DF,The Fox
83,YK3412,460786.6302,451206.6031,Fawcett Street,nr The Barbican SBnd,,YO10 4BF,
84,YK3413,460883.3813,450111.926,Fulford Road,opp Aldi SBnd,,YO10 4PA,
85,YK3414,460868.2062,450115.3073,Fulford Road,os Aldi NBnd,,YO10 4PA,
86,YK3415,461203.7625,451351.4823,Lawrence Street,opp Leake Street WBnd,,YO10 3BR,
87,YK3416,463287.5833,451292.0896,Hull Road,os Badger Hill Shops EBnd,,YO10 5HD,
88,YK3417,460873.0164,450489.3698,Fulford Road,nr Alma Terrace NBnd,,YO10 4DD,
89,YK3418,459418.7354,454758.0156,Water Lane,opp Traveller Site,Sbound,YO30 4WR,
90,YK3419,459481.7896,454532.2614,Water Lane ,adj Aldi,Nbound,YO30 6RF,
91,YK3233,460604.22,451651.7976,Merchantgate,os CitiLets - Stop PD,Nbnd,YO1 9WY,
93,YK3201C,459968.4355,451761.7953,Rougier Street,nr Tanner Row,N Wbnd - Stop CC,YO1 6HU,
493,YK3250,459664.6821,451683.4373,Rail Station - Stop RA,adj Station NBnd,,YO1 6HP,
894,YK3271,460817.366,454286.3767,,,,,
895,YK3272,460819.3504,454350.6706,,,,,
1294,YK3421,461094.629,448920.4482,Main Street Fulford,nr Pasture Farm Close,,YO10 4PP,
1295,YK3420,461017.7669,449239.5707,Main Street Fulford,nr Eliot Court,,YO10 4PJ,
