Service Provider Level ,Location ,Address,Town,Postcode,Latitude,Longitude
Voucher Scheme,Wellcare Pharmacy,2 Castle Avenue,Rastrick ,HD6 3HT,53.69404,-1.79072
Voucher Scheme,Boots Pharmacy,7 - 11 Market Street,Halifax,HX1 1PB,53.72251,-1.85894
Voucher Scheme,Sainsburys Pharmacy,Wade Street,Halifax,HX1 1SB,53.72574,-1.85583
Voucher Scheme,Heath Pharmacy,96 Free School Lane,Halifax,HX1 2YF,53.71275,-1.86834
Voucher Scheme,J Swire and Son Limited,210 - 212 King Cross Road,Halifax,HX1 3JP,53.71527,-1.88141
Voucher Scheme,Living Care Pharmacy,173b Spring Hall Lane,Halifax,HX1 4JG,53.72106,-1.89289
Voucher Scheme,ASDA Pharmacy,Thrum Hall Lane,Halifax,HX1 4JT,53.72310,-1.88621
Voucher Scheme,Brook Pharmacy,236 Queens Road,Halifax,HX1 4NE,53.72316,-1.88148
Voucher Scheme,Living Care Pharmacy,Horne Street Medical Centre,Halifax,HX1 5UA,53.72567,-1.87171
Voucher Scheme,Living Care Pharmacy,49 Sandbeds Road,Halifax,HX2 0QL,53.73044,-1.89443
Voucher Scheme,Luddendenfoot Pharmacy,Kershaw Drive,Halifax,HX2 6DP,53.71798,-1.93845
Voucher Scheme,Medichem Pharmacy,55 Northowram Green,Halifax,HX3 7JE,53.74133,-1.83118
Voucher Scheme,Boots Pharmacy,16 - 18 Keighley Road,Halifax,HX2 8AL,53.74324,-1.88116
Voucher Scheme,Ovenden Pharmacy ,60a Keighley Road,Halifax,HX2 8AL,53.74324,-1.88116
Voucher Scheme,Mixenden Pharmacy,Mixenden Stones,Halifax,HX2 8RQ,53.75289,-1.90639
Voucher Scheme,Rowlands Pharmacy,42 Illingworth Road,Halifax,HX2 9EN,53.75480,-1.89135
Voucher Scheme,Living Care Pharmacy,Woodside Road,Halifax,HX3 6EL,53.73020,-1.86694
Voucher Scheme,Shelf Pharmacy,14 Carr House Road,Halifax,HX3 7QY,53.75646,-1.80910
Voucher Scheme,Medichem Kos Clinic,Kos Clinic  Roylands Street,Halifax,HX3 8AF,53.72593,-1.80884
Voucher Scheme,Living Care Pharmacy,Law Lane Southowram,Halifax,HX3 9QB,53.71229,-1.83169
Voucher Scheme,Stainland Pharmacy,350 Stainland Road,Halifax,HX4 9EH,53.67287,-1.87685
Voucher Scheme,Andrew Hirst Pharmacy,52 Southgate Elland ,Elland ,HX5 0DQ,53.68490,-1.83707
Voucher Scheme,Rowlands Pharmacy,25 Town Hall Street,Sowerby Bridge,HX6 2EA,53.70849,-1.91118
Voucher Scheme,Sowerby Bridge Pharmacy ,Unit 4 The Old Post Office Station Road ,Sowerby Bridge,HX6 3AA,53.70715,-1.91137
Voucher Scheme,Ryburn Pharmacy,226 Halifax Road,Rippondden,HX6 4BN,53.67558,-1.93947
Voucher Scheme,Langhorne Pharmacy,Grange Dene Medical Centre,Mytholmroyd,HX7 5LL,53.73077,-1.98171
Voucher Scheme,Boots Pharmacy,13 - 15 Crown Street,Hebden Bridge,HX7 8EL,53.74140,-2.01298
Voucher Scheme,Tesco Pharmacy,Huddersfield Road,Brighouse,HD6 1RZ,53.70367,-1.77619
Voucher Scheme,Boots Pharmacy,Lower George Street,Todmorden,OL14 5RN,53.71365,-2.09215
Stop Smoking Service,Rydings Hall Surgery,Church Lane,Brighouse,HD6 1AT,53.70306,-1.78254
Stop Smoking Service,Longroyd Surgery,38 Castle Avenue,Rastrick,HD6 3HT,53.69404,-1.79072
Stop Smoking Service,Branching Out  DISC,St Johns House 2 St Johns Lane,Halifax,HX1 2JD,53.72025,-1.85976
Stop Smoking Service,J Swire and Son Limited,210 - 212 King Cross Road,Halifax,HX1 3JP,53.71527,-1.88141
Stop Smoking Service,Tesco Pharmacy,Haugh Shaw Road,Halifax,HX1 3TU,53.71489,-1.87711
Stop Smoking Service,Living Care Pharmacy,173b Spring Hall Lane,Halifax,HX1 4JG,53.72106,-1.89289
Stop Smoking Service,Springhall Group Practice,Spring Hall Medical Centre Spring Hall Lane,Halifax,HX1 4JG,53.72106,-1.89289
Stop Smoking Service,Asda Pharmacy,Thrum Hall Lane,Halifax,HX1 4JT,53.72310,-1.88621
Stop Smoking Service,Better Living Team,Queens Road Neighbourhood Centre Queens Road,Halifax,HX1 4NE,53.72316,-1.88148
Stop Smoking Service,Brunswick Centre,The Resource Centre  Hall Street,Halifax,HX1 5AY,53.72278,-1.86617
Stop Smoking Service,Horne Street Surgery,Horne Street Health Centre ,Halifax,HX1 5UA,53.72567,-1.87171
Stop Smoking Service,Park and Calder,Horne Street Health Centre Hanson Lane,Halifax,HX1 5UA,53.72567,-1.87171
Stop Smoking Service,Plane Trees Group Practice,51 Sandbeds Road Pellon,Halifax,HX2 0QL,53.73044,-1.89443
Stop Smoking Service,Hebden Bridge Group Practice,Mini Clinic  Kershaw Drive  Luddendendonfoot,Halifax,HX2 6PD,53.72644,-1.94384
Stop Smoking Service,Boots Pharmacy,16 - 18 Keighley Road,Halifax,HX2 8AL,53.74324,-1.88116
Stop Smoking Service,Caritas Group Practice,Mixenden Stones Surgery,Halifax,HX2 8RQ,53.75289,-1.90639
Stop Smoking Service,Meadowdale Group Practice,120 Nursery Lane Ovenden ,Halifax,HX3 5SX,53.74038,-1.88616
Stop Smoking Service,Caritas Group Practice,Woodside Surgery  Boothtown Medical Centre  Woodside Road,Halifax,HX3 6EL,53.73020,-1.86694
Stop Smoking Service,Northolme Practice,Northowram Surgery,Halifax,HX3 7JE,53.74133,-1.83118
Stop Smoking Service,Caritas Group Practice,Shelf Health Centre  Shelf Moor Road,Halifax,HX3 7PQ,53.75615,-1.81210
Stop Smoking Service,Northolme Practice,Kos Clinic  Roylands Street,Halifax,HX3 8AF,53.72593,-1.80884
Stop Smoking Service,Living Care Pharmacy,Law Lane  Southowram,Halifax,HX3 9QB,53.71229,-1.83169
Stop Smoking Service,Stainland Surgery,70 Stainland Road  Greetland,Halifax,HX4 8BD,53.68588,-1.85739
Stop Smoking Service,Meadowdale Group Practice,Rosemount House  Rosemount Estate Huddersfield Road,Halifax,HX5 0EE,53.68113,-1.83035
Stop Smoking Service,Bankfield Surgery,Huddersfield Road,Elland,HX5 9BA,53.68633,-1.83514
Stop Smoking Service,Meadowdale Group Practice,Allan House Sowerby Bridge,Halifax,HX6 3AD,53.70680,-1.90949
Stop Smoking Service,Hebden Bridge Group Practice,Valley Medical Centre  Valley Road,Hebden Bridge,HX7 7BZ,53.74403,-2.01094
Stop Smoking Service,Better Living Team,Todwell Centre  32 Burnley Road,Todmorden,OL14 5EZ,53.71576,-2.09708
Stop Smoking Service,Park & Calder,Calder Community Practice  Todmorden Health Centre  Lower George Street,Todmorden,OL14 5RN,53.71365,-2.09215
Yorkshire Smoke Free Calderdale,Tesco Pharmacy,Huddersfield Road,Brighouse,HD6 1RZ,53.70367,-1.77619
Yorkshire Smoke Free Calderdale,Laura Mitchell Centre,Great Albion Street,Halifax,HX1 1YR,53.72483,-1.86382
Yorkshire Smoke Free Calderdale,Illingworth Children's Centre,Cousin Lane,Halifax,HX2 8DQ,53.74315,-1.89087
Yorkshire Smoke Free Calderdale,Illingworth Methodist Church,Keighley Road,Halifax,HX2 9LL,53.75423,-1.89390
Yorkshire Smoke Free Calderdale,Elland Children's Centre,Boxhall Road,Elland,HX5 0BB,53.68563,-1.84072
Yorkshire Smoke Free Calderdale,St Pauls Methodist Church,Tower Hill,Sowerby Bridge,HX6 2EQ,53.70902,-1.91089
